@relation 'DDO126'

@attribute RealValuedInputFeature_1 REAL
@attribute RealValuedInputFeature_2 REAL
@attribute RealValuedInputFeature_3 REAL
@attribute RealValuedInputFeature_4 REAL
@attribute RealValuedInputFeature_5 REAL
@attribute RealValuedInputFeature_6 REAL

@data

0.13,3.08,3.21,2.92,1.44,0.75
0.27,6.96,7.12,1.79,2.78,1.41
0.40,8.41,8.67,1.48,3.74,2.08
0.53,12.24,12.55,2.63,3.75,2.77
0.67,11.62,12.11,2.96,5.25,3.30
0.80,13.77,14.36,3.04,7.51,3.76
0.93,16.07,16.76,2.69,8.51,4.19
1.06,18.66,19.45,3.12,8.88,4.49
1.20,19.00,19.99,3.06,9.20,4.68
1.33,21.44,22.55,2.68,10.28,4.92
1.46,22.59,23.89,2.79,10.94,5.12
1.60,24.41,25.87,2.52,10.87,5.26
1.73,26.00,27.63,1.66,11.21,5.32
1.86,27.89,29.68,1.93,11.42,5.44
2.00,28.72,30.72,2.12,11.66,5.61
2.13,31.28,33.37,2.39,12.61,5.70
2.26,32.51,34.76,2.93,13.30,5.70
2.39,31.71,34.24,2.56,14.56,5.71
2.53,34.08,36.64,2.95,15.75,5.83
2.66,34.01,36.74,3.34,16.52,5.96
2.79,35.19,37.97,3.23,17.07,6.07
2.93,35.92,38.74,3.14,17.30,6.07
3.06,35.59,38.51,2.88,17.72,5.98
3.19,34.56,37.62,2.49,17.65,5.92
3.33,34.55,37.67,2.79,17.14,5.80
3.46,33.86,37.10,2.36,17.09,5.73
3.59,34.01,37.35,2.22,17.37,5.68
3.72,34.20,37.71,2.28,17.00,5.68
3.86,33.60,37.49,2.08,16.70,5.69
3.99,32.70,37.22,2.07,16.74,5.82
