@relation 'DDO87

@attribute RealValuedInputFeature_1 REAL
@attribute RealValuedInputFeature_2 REAL
@attribute RealValuedInputFeature_3 REAL
@attribute RealValuedInputFeature_4 REAL
@attribute RealValuedInputFeature_5 REAL
@attribute RealValuedInputFeature_6 REAL

@data

0.22,1.52,1.52,3.59,-0.69,1.18
0.45,8.91,8.91,3.27,0.86,2.10
0.67,13.84,13.84,2.29,2.68,2.75
0.90,17.29,17.29,2.77,4.01,3.22
1.12,18.16,18.16,3.06,3.73,3.63
1.34,20.66,20.67,2.96,2.29,3.96
1.57,21.76,21.77,2.71,1.44,4.31
1.79,26.62,26.63,2.98,4.21,4.67
2.02,28.06,28.08,2.59,5.08,4.91
2.24,29.78,29.81,2.97,7.06,5.04
2.46,32.59,32.64,3.22,8.60,5.20
2.69,34.12,34.21,2.71,9.62,5.42
2.91,35.30,35.44,3.34,9.48,5.67
3.14,37.02,37.24,3.45,8.47,5.73
3.36,38.55,38.89,3.53,8.65,5.76
3.58,39.15,39.67,3.71,8.69,5.99
3.81,39.53,40.29,3.35,8.05,6.22
4.03,39.94,41.01,3.99,8.92,6.42
4.26,41.30,42.67,3.88,11.68,6.40
4.48,42.75,44.40,3.14,13.83,6.45
4.70,45.96,47.73,3.06,15.21,6.41
4.93,48.13,49.95,3.23,16.77,6.51
5.15,48.79,50.58,3.61,17.58,6.64
5.38,47.65,49.38,3.33,17.25,6.67
5.60,50.86,52.33,3.34,16.80,6.74
5.82,52.85,54.11,3.25,16.57,6.69
6.05,52.35,53.51,3.62,16.07,6.73
6.27,50.28,51.46,3.70,15.69,6.54
6.50,49.26,50.60,3.58,15.27,6.41
6.72,48.27,50.03,3.28,14.78,6.34
6.94,50.75,53.25,3.37,15.16,6.38
7.17,51.24,55.33,2.54,15.98,6.73
7.39,49.33,56.63,3.01,17.01,7.17
