@relation 'NGC1569'

@attribute RealValuedInputFeature_1 REAL
@attribute RealValuedInputFeature_2 REAL
@attribute RealValuedInputFeature_3 REAL
@attribute RealValuedInputFeature_4 REAL
@attribute RealValuedInputFeature_5 REAL
@attribute RealValuedInputFeature_6 REAL

@data

0.25,1.99,7.64,5.48,5.75,4.22
0.38,7.81,12.07,5.35,6.89,6.84
0.51,11.78,16.02,7.49,6.92,9.22
0.63,12.49,17.61,7.91,8.08,10.95
0.76,15.03,20.49,9.00,9.98,12.69
0.89,14.40,21.07,8.28,12.27,13.85
1.02,16.39,23.48,9.94,14.35,14.79
1.14,16.17,24.34,11.71,14.07,15.71
1.27,16.51,25.58,9.03,14.91,16.18
1.40,18.11,27.59,9.93,15.20,16.39
1.52,20.80,30.30,9.15,15.43,16.35
1.65,24.67,33.86,7.00,15.86,16.32
1.78,27.85,36.95,7.48,16.07,16.28
1.90,30.79,39.85,7.91,16.55,16.73
2.03,31.28,40.83,9.21,17.27,17.01
2.16,33.26,42.92,12.96,17.85,17.19
2.28,35.53,45.22,13.18,18.35,17.33
2.41,34.62,45.01,15.42,19.13,17.68
2.54,32.68,44.06,13.47,19.49,18.13
2.67,31.85,43.98,12.78,19.42,18.46
2.79,32.42,44.95,13.02,19.51,18.98
2.92,29.36,43.42,10.60,20.27,19.69
3.05,34.10,47.41,10.12,21.69,20.95
3.17,35.31,49.01,9.61,31.27,22.55
