@relation 'ic1613'

@attribute RealValuedInputFeature_1 REAL
@attribute RealValuedInputFeature_2 REAL
@attribute RealValuedInputFeature_3 REAL
@attribute RealValuedInputFeature_4 REAL
@attribute RealValuedInputFeature_5 REAL
@attribute RealValuedInputFeature_6 REAL

@data

0.14,3.00,3.00,0.84,-2.94,0.34
0.17,4.01,4.01,2.66,-3.16,0.84
0.19,6.27,6.27,1.67,-3.32,1.22
0.21,5.34,5.34,1.38,-3.56,1.61
0.24,4.39,4.39,1.92,-3.03,1.95
0.26,4.48,4.48,1.87,-3.78,2.17
0.29,4.01,4.02,2.09,-4.25,2.40
0.31,3.70,3.71,1.80,-4.44,2.62
0.33,3.93,3.94,1.95,-4.52,2.85
0.36,4.02,4.03,2.35,-4.49,3.03
0.38,3.67,3.69,2.81,-4.55,3.25
0.40,4.09,4.11,2.72,-3.97,3.42
0.43,5.12,5.14,2.71,0.05,3.55
0.45,5.19,5.22,2.50,3.05,3.69
0.48,4.00,4.04,2.54,3.28,3.89
0.50,4.45,4.49,2.34,0.43,4.10
0.52,5.13,5.18,2.32,-2.59,4.29
0.55,6.75,6.79,2.34,-2.93,4.41
0.57,6.53,6.58,2.36,-2.25,4.53
0.59,5.95,6.02,2.41,-1.60,4.68
0.62,6.17,6.25,2.09,1.81,4.81
0.64,6.00,6.09,1.90,3.15,4.96
0.67,6.02,6.13,2.00,3.28,5.11
0.69,6.59,6.70,2.17,4.94,5.25
0.71,6.92,7.04,2.11,4.99,5.38
0.74,6.12,6.28,2.23,5.23,5.49
0.76,6.99,7.15,2.07,5.11,5.63
0.78,7.34,7.51,2.05,4.99,5.79
0.81,7.42,7.61,2.18,5.51,5.93
0.83,7.01,7.24,2.21,6.26,6.02
0.86,6.67,6.95,2.05,5.81,6.09
0.88,7.62,7.89,2.05,6.15,6.20
0.90,8.74,9.01,2.06,5.24,6.30
0.93,10.11,10.37,2.15,5.73,6.30
0.95,10.53,10.81,2.25,6.31,6.30
0.97,11.15,11.44,2.10,6.79,6.30
1.00,10.91,11.24,1.94,7.55,6.31
1.02,10.99,11.36,1.65,7.62,6.37
1.05,10.63,11.05,1.63,7.56,6.37
1.07,10.06,10.55,1.66,7.73,6.39
1.09,9.75,10.31,1.78,8.22,6.41
1.12,9.56,10.18,1.82,8.77,6.44
1.14,9.86,10.52,1.92,8.09,6.46
1.16,10.68,11.36,1.99,8.04,6.51
1.19,10.65,11.39,1.95,8.45,6.51
1.21,10.46,11.28,2.07,8.54,6.51
1.24,9.76,10.72,1.94,8.79,6.50
1.26,10.12,11.13,1.99,8.96,6.46
1.28,9.79,10.92,2.11,9.34,6.49
1.31,9.98,11.19,2.13,9.86,6.48
1.33,10.23,11.51,2.06,10.00,6.48
1.35,10.02,11.44,2.09,10.42,6.45
1.38,10.53,11.99,2.14,10.54,6.48
1.40,10.12,11.76,2.00,10.01,6.47
1.43,10.41,12.13,2.02,10.40,6.41
1.45,10.71,12.52,1.99,10.50,6.35
1.47,11.18,13.05,1.95,10.76,6.32
1.50,11.54,13.50,1.90,10.90,6.29
1.52,12.10,14.11,1.87,11.22,6.36
1.54,12.63,14.71,1.92,11.21,6.44
1.57,12.63,14.85,2.08,11.20,6.50
1.59,12.79,15.14,2.04,11.40,6.58
1.62,13.13,15.57,1.90,11.59,6.59
1.64,13.56,16.09,1.89,11.69,6.56
1.66,13.88,16.51,1.94,11.50,6.53
1.69,14.24,16.97,1.92,11.35,6.52
1.71,14.63,17.45,2.00,11.52,6.51
1.73,14.80,17.75,2.08,11.59,6.52
1.76,14.91,18.00,2.24,11.51,6.56
1.78,15.64,18.76,2.15,11.28,6.60
1.81,16.01,19.22,2.15,11.26,6.68
1.83,15.40,18.87,2.15,11.35,6.75
1.85,15.75,19.31,2.09,11.58,6.72
1.88,15.66,19.38,2.13,11.54,6.69
1.90,15.20,19.16,2.12,11.43,6.72
1.92,15.43,19.49,2.06,11.33,6.75
1.95,15.07,19.34,2.15,11.48,6.72
1.97,15.86,20.10,2.17,11.43,6.73
2.00,16.23,20.51,2.23,11.49,6.74
2.02,15.98,20.43,2.05,11.65,6.74
2.04,15.52,20.18,2.19,11.56,6.69
2.07,15.91,20.58,2.30,11.53,6.58
2.09,16.09,20.81,2.30,11.85,6.49
2.11,15.76,20.63,2.39,11.94,6.47
2.14,15.68,20.63,2.32,12.00,6.52
2.16,16.12,21.01,2.28,12.13,6.54
2.19,16.06,21.00,2.38,12.02,6.58
2.21,15.70,20.74,2.27,12.10,6.60
2.23,15.47,20.57,2.31,12.13,6.57
2.26,16.24,21.13,2.49,12.16,6.51
2.28,15.75,20.71,2.40,12.25,6.40
2.30,15.93,20.78,2.38,12.30,6.39
2.33,15.81,20.60,2.25,12.50,6.38
2.35,14.82,19.73,2.36,12.62,6.36
2.38,15.08,19.78,2.56,12.57,6.32
2.40,15.24,19.73,2.43,12.61,6.34
2.42,15.01,19.35,2.51,12.61,6.40
2.45,15.39,19.42,2.22,12.63,6.38
2.47,15.72,19.43,2.33,12.64,6.35
2.49,16.13,19.49,2.19,12.69,6.43
2.52,15.91,19.00,2.29,12.67,6.50
2.54,15.53,18.34,2.30,12.67,6.55
2.57,15.57,18.02,2.44,12.74,6.56
2.59,16.56,18.53,2.22,12.96,6.57
2.61,16.30,17.93,2.25,13.03,6.62
2.64,17.06,18.27,2.26,12.98,6.74
2.66,15.35,16.31,2.24,12.98,6.85
2.68,16.17,16.76,2.08,13.23,6.79
2.71,16.65,16.95,2.03,13.68,6.82
